SightingID,ReserveName,SpeciesCommonName,SightingDate
226,Burns Paiute,Canyon Towhee,3/30/2017
227,Brotherton,Eastern Towhee,7/4/2012
228,Mucurapo,Arctic Warbler,8/31/2015
229,Carapichaima,Violet-green Swallow,4/19/2014
230,Mucurapo,Tricolored Blackbird,4/11/2016
231,Guayaguayare,Eastern Meadowlark,5/5/2023
232,Bad River,Varied Bunting,7/4/2008
233,Tunapuna,Song Sparrow,6/9/2015
234,Arima,Virginia's Warbler,6/1/2016
235,Burns Paiute,Ruby-crowned Kinglet,2/27/2020
236,Weracoba,Yellow-green Vireo,3/21/2020
237,Big Sandy Rancheria,Pacific Wren,5/12/2017
238,Bad River,Say's Phoebe,6/10/2023
239,Big Sandy Rancheria,Gray Kingbird,11/5/2009
240,Bishop Paiute,Baird's Sparrow,9/24/2020
241,Mayaro,Sedge Wren,5/4/2008
242,Cataula,Townsend's Solitaire,11/25/2020
243,Guayaguayare,Orchard Oriole,5/1/2013
244,Guaico,Chestnut-sided Warbler,4/13/2008
245,Nankipooh,Western Meadowlark,6/15/2022
246,Guayaguayare,Red-faced Warbler,10/25/2015
247,Chaguanas,Yellow-eyed Junco,2/2/2022
248,Birch Creek,Arctic Warbler,10/24/2017
249,Carapichaima,Hoary Redpoll,5/19/2008
250,Kalispell,Yellow-green Vireo,6/19/2021
251,Tacarigua,Dickcissel,11/30/2010
252,Couva,Lazuli Bunting,8/1/2016
253,Upatoi,Willow Flycatcher,7/2/2008
254,Beaver Village,Gray Catbird,12/15/2020
255,Kaw,Bell's Vireo,7/8/2020
256,Carapichaima,Rufous Hummingbird,7/29/2022
257,Bishop Paiute,Hermit Thrush,8/23/2014
258,Guayaguayare,Rusty Blackbird,2/15/2013
259,Weracoba,Yellow-throated Warbler,11/30/2015
260,Ochillie,Colima Warbler,7/3/2022
261,Schatulga,Hermit Thrush,12/19/2013
262,Burns Paiute,Yellow-rumped Warbler,3/4/2011
263,Acoma Pueblo,Black-chinned Sparrow,12/8/2008
264,Anvik Village,Purple Martin,7/23/2014
265,Mayaro,Western Meadowlark,3/18/2022
266,Caroni,Clay-colored Sparrow,10/2/2011
267,Kasigluk,Varied Thrush,1/25/2012
268,Weracoba,Golden-crowned Sparrow,12/15/2017
269,Dahlonega,Sagebrush Sparrow,4/20/2008
270,Toccoa,Clay-colored Sparrow,10/27/2018
271,Schatulga,Tricolored Blackbird,12/5/2021
272,Anvik Village,Yellow-green Vireo,3/18/2009
273,Kaw,Hammond's Flycatcher,8/6/2008
274,Arima,Arctic Warbler,10/3/2014
275,Tunapuna,Gray Flycatcher,6/29/2018
276,Big Sandy Rancheria,Boat-tailed Grackle,10/16/2012
277,Kalispell,Smooth-billed Ani,6/16/2014
278,Upatoi,Bank Swallow,11/24/2010
279,Nankipooh,Wood Thrush,2/19/2013
280,Dahlonega,Allen's Hummingbird,8/24/2011
281,Brotherton,Eastern Towhee,10/1/2010
282,Karuk,Pyrrhuloxia,4/8/2017
283,Burns Paiute,Olive Sparrow,11/19/2013
284,Bad River,Hermit Thrush,2/1/2013
285,Brotherton,Purple Finch,4/12/2015
286,Toccoa,Florida Scrub-Jay,10/9/2011
287,Schatulga,Swamp Sparrow,10/25/2008
288,Chaguanas,Bank Swallow,6/13/2018
289,Aripo ,Black-throated Gray Warbler,7/24/2014
290,Mayaro,Ovenbird,11/30/2014
291,Nankipooh,Green-tailed Towhee,11/8/2022
292,Caura,Yellow-throated Warbler,4/7/2014
293,Ochillie,Nashville Warbler,2/24/2013
294,Weracoba,Swamp Sparrow,3/26/2015
295,Caroni,Mourning Warbler,5/25/2021
296,Chaguanas,Willow Flycatcher,4/14/2009
297,Oropouche ,Orange-crowned Warbler,1/5/2013
298,Nankipooh,Audubon's Oriole,5/18/2022
299,Tamana,California Gnatcatcher,1/1/2013
300,Karuk,Common Grackle,3/28/2010
301,Kasigluk,Ruby-crowned Kinglet,11/9/2020
302,Oropouche ,Colima Warbler,7/17/2008
303,Beaver Village,Varied Bunting,12/8/2008
304,Schatulga,Varied Bunting,4/1/2013
305,Guayaguayare,Lesser Goldfinch,4/28/2019
306,Tacarigua,Pacific Wren,4/22/2016
307,Bishop Paiute,Lincoln's Sparrow,8/26/2011
308,Caroni,Bicknell's Thrush,8/7/2017
309,Kalispell,Cliff Swallow,7/23/2021
310,Tacarigua,American Redstart,1/17/2020
311,Cataula,Swamp Sparrow,5/9/2018
312,Brotherton,Hooded Oriole,6/13/2008
313,Burns Paiute,Willow Flycatcher,10/26/2017
314,Ochillie,Cedar Waxwing,7/5/2017
315,Arouca,Yellow-breasted Chat,5/17/2015
316,Couva,Varied Thrush,10/13/2020
317,Caura,Pacific-slope Flycatcher,3/1/2023
318,Burns Paiute,Bachman's Sparrow,3/16/2008
319,Aripo ,Hooded Warbler,7/18/2023
320,Brotherton,California Gnatcatcher,8/28/2023
321,Ochillie,Hoary Redpoll,11/21/2011
322,Karuk,Black-capped Gnatcatcher,1/9/2015
323,Burns Paiute,Varied Bunting,5/7/2010
324,Couva,Abert's Towhee,6/22/2012
325,Chaguanas,Curve-billed Thrasher,8/27/2011
326,Karuk,Varied Thrush,12/28/2008
327,Birch Creek,Lincoln's Sparrow,8/1/2016
328,Karuk,Varied Thrush,6/15/2023
329,Guaico,Yellow-breasted Chat,12/14/2020
330,Guaico,Mountain Chickadee,8/28/2009
331,Kalispell,Pyrrhuloxia,6/4/2015
332,Kaw,Ruby-crowned Kinglet,5/21/2010
333,Birch Creek,Bicknell's Thrush,8/23/2022
334,Caura,Eurasian Tree Sparrow,8/16/2020
335,Karuk,Arctic Warbler,1/21/2023
336,Tamana,Bohemian Waxwing,2/22/2021
337,Karuk,Black-chinned Sparrow,1/4/2010
338,Oropouche ,Wood Thrush,11/27/2009
339,Arouca,Yellow-throated Warbler,7/28/2023
340,Upatoi,Sagebrush Sparrow,7/17/2017
341,Carapichaima,Song Sparrow,4/3/2017
342,Tunapuna,Cassia Crossbill,4/16/2011
343,Oropouche ,Varied Thrush,4/30/2022
344,Guayaguayare,Colima Warbler,12/25/2010
345,Beaver Village,LeConte's Sparrow,10/14/2016
346,Big Sandy Rancheria,Willow Flycatcher,1/21/2010
347,Nankipooh,Northern Cardinal,10/10/2014
348,Cataula,Lincoln's Sparrow,5/26/2021
349,Anvik Village,Sagebrush Sparrow,2/21/2013
350,Tunapuna,Lincoln's Sparrow,12/18/2015
351,Burns Paiute,Varied Thrush,6/27/2016
352,Couva,Tree Swallow,12/11/2012
353,Oropouche ,Hoary Redpoll,12/13/2019
354,Birch Creek,Yellow-eyed Junco,1/11/2012
355,Blackfeet,Bell's Vireo,3/13/2016
356,Caura,Bohemian Waxwing,10/16/2009
357,Ochillie,Yellow-eyed Junco,6/27/2010
358,Anvik Village,Varied Bunting,9/29/2019
359,Birch Creek,Orchard Oriole,12/5/2018
360,Beaver Village,Hermit Thrush,6/25/2008
361,Guaico,Hermit Thrush,8/16/2019
362,Burns Paiute,Lazuli Bunting,4/25/2011
363,Upatoi,Florida Scrub-Jay,9/11/2011
364,Beaver Village,Yellow-eyed Junco,5/17/2014
365,Acoma Pueblo,Turkey Vulture,9/16/2021
366,Cataula,Yellow-throated Warbler,5/19/2023
367,Acoma Pueblo,Eurasian Tree Sparrow,2/7/2008
368,Upatoi,Sagebrush Sparrow,8/22/2015
369,Caroni,Clay-colored Sparrow,7/22/2021
370,Tacarigua,Pyrrhuloxia,9/25/2022
371,Blackfeet,California Gnatcatcher,4/30/2009
372,Paria,Lapland Longspur,9/18/2016
373,Upatoi,Varied Thrush,4/28/2021
374,Karuk,Tricolored Blackbird,4/4/2008
375,Kaw,Clay-colored Sparrow,1/23/2015
376,Aripo ,Olive-sided Flycatcher,8/13/2013
377,Tamana,Cave Swallow,1/2/2008
378,Bois Forte Band,Cave Swallow,12/29/2017
379,Birch Creek,Eastern Kingbird,11/8/2018
380,Cataula,Yellow-throated Warbler,2/25/2024
381,Bois Forte Band,Cassia Crossbill,3/18/2012
382,Ochillie,Varied Thrush,6/29/2021
383,Arouca,Lincoln's Sparrow,10/2/2016
384,Blackfeet,Clay-colored Sparrow,12/20/2010
385,Paria,Ruby-crowned Kinglet,4/19/2018
386,Tunapuna,Bicknell's Thrush,1/4/2009
387,Caroni,Tropical Parula,8/17/2013
388,Bishop Paiute,Western Bluebird,7/9/2015
389,Nankipooh,Cave Swallow,10/12/2019
390,Paria,Varied Thrush,1/22/2010
391,Anvik Village,Kentucky Warbler,2/9/2024
392,Oropouche ,Sagebrush Sparrow,6/5/2023
393,Mucurapo,Varied Thrush,12/10/2019
394,Kalispell,Varied Thrush,1/3/2015
395,Karuk,Black-chinned Hummingbird,3/5/2024
396,Paria,Ruby-crowned Kinglet,8/20/2009
397,Chaguanas,Orange-crowned Warbler,2/21/2013
398,Toccoa,California Condor,1/8/2021
399,Anvik Village,Yellow-billed Magpie,6/24/2014
400,Bishop Paiute,Pyrrhuloxia,6/22/2008
401,Tunapuna,Yellow-eyed Junco,8/11/2009
402,Ochillie,Yellow-throated Warbler,6/5/2023
403,Karuk,Dickcissel,3/31/2014
404,Tacarigua,Yellow-eyed Junco,4/12/2024
405,Kalispell,Red-faced Warbler,9/29/2020
406,Tamana,Yellow-eyed Junco,1/13/2020
407,Tacarigua,Orange-crowned Warbler,12/2/2011
408,Tunapuna,Ruby-crowned Kinglet,5/12/2009
409,Arima,Varied Thrush,2/6/2009
410,Blackfeet,Varied Thrush,5/22/2018
411,Tamana,Pygmy Nuthatch,11/18/2014
412,Mucurapo,Carolina Wren,8/1/2023
413,Toccoa,Gila Woodpecker,6/16/2021
414,Kalispell,Canyon Wren,12/30/2008
415,Chaguanas,Yellow-throated Warbler,4/1/2018
416,Cataula,Pygmy Nuthatch,8/8/2023
417,Oropouche ,Smooth-billed Ani,4/2/2023
418,Kalispell,Clay-colored Sparrow,6/18/2016
419,Ochillie,Yellow-green Vireo,6/14/2009
420,Schatulga,Turkey Vulture,4/12/2009
421,Kaw,Red-faced Warbler,10/2/2019
422,Kasigluk,Yellow-headed Blackbird,2/8/2016
423,Caura,Song Sparrow,2/23/2016
424,Kasigluk,California Gnatcatcher,3/24/2022
425,Bishop Paiute,Yellow-green Vireo,8/24/2019
426,Aripo ,Gray Catbird,6/8/2020
427,Guaico,Gray Kingbird,9/5/2008
428,Weracoba,Smooth-billed Ani,4/28/2022
429,Karuk,Lesser Goldfinch,7/17/2014
430,Big Sandy Rancheria,California Gnatcatcher,3/17/2009
431,Kasigluk,Brown Jay,7/19/2021
432,Dahlonega,Brown-headed Nuthatch,8/26/2019
433,Tamana,Sagebrush Sparrow,8/20/2012
434,Caura,Bay-breasted Warbler,8/15/2019
435,Big Sandy Rancheria,Swamp Sparrow,1/30/2012
436,Brotherton,Yellow-eyed Junco,1/29/2021
437,Kalispell,Lincoln's Sparrow,2/24/2020
438,Bois Forte Band,Orchard Oriole,5/29/2011
439,Beaver Village,Varied Thrush,6/13/2016
440,Paria,Wood Thrush,1/5/2015
441,Kalispell,Yellow-rumped Warbler,3/14/2018
442,Dahlonega,Willow Flycatcher,3/25/2014
443,Ochillie,Say's Phoebe,6/9/2009
444,Bad River,Rusty Blackbird,6/25/2019
445,Arouca,Black-chinned Hummingbird,8/1/2022
446,Cataula,Montezuma Quail,6/27/2018
447,Tamana,Yellow-green Vireo,3/21/2017
448,Tacarigua,Tricolored Blackbird,5/6/2017
449,Mayaro,Cliff Swallow,6/28/2019
450,Anvik Village,Orchard Oriole,2/18/2023
451,Ochillie,Clay-colored Sparrow,5/25/2022
452,Chaguanas,Bohemian Waxwing,3/27/2023
453,Bishop Paiute,Ruffed Grouse,11/27/2016
454,Schatulga,Wood Thrush,7/4/2022
455,Chaguanas,Wood Thrush,11/30/2014
456,Ochillie,Song Sparrow,9/15/2009
457,Anvik Village,Hermit Warbler,8/21/2019
458,Nankipooh,California Gnatcatcher,11/30/2010
459,Carapichaima,Swamp Sparrow,9/15/2020
460,Arouca,Yellow-throated Warbler,5/29/2015
461,Chaguanas,California Gnatcatcher,7/8/2017
462,Brotherton,Song Sparrow,12/5/2012
463,Karuk,Yellow-green Vireo,9/21/2010
464,Burns Paiute,Phainopepla,8/3/2011
465,Tamana,Scissor-tailed Flycatcher,4/6/2013
466,Brotherton,Red-faced Warbler,9/30/2020
467,Acoma Pueblo,Yellow-breasted Chat,3/1/2009
468,Guayaguayare,Varied Thrush,8/3/2019
469,Burns Paiute,Lincoln's Sparrow,6/3/2008
470,Couva,Tricolored Blackbird,2/20/2011
471,Kaw,Lark Bunting,10/28/2014
472,Bad River,Eurasian Tree Sparrow,12/13/2018
473,Arima,Swamp Sparrow,9/6/2017
474,Guaico,Yellow-eyed Junco,2/15/2018
475,Bad River,Purple Martin,1/29/2013
476,Kasigluk,Mourning Warbler,1/19/2024
477,Birch Creek,European Starling,1/9/2014
478,Ochillie,Virginia's Warbler,3/17/2018
479,Blackfeet,Yellow-eyed Junco,8/3/2016
480,Kalispell,Black-chinned Sparrow,11/26/2023
481,Arima,Pyrrhuloxia,3/6/2008
482,Dahlonega,Bank Swallow,4/25/2017
483,Weracoba,Yellow-eyed Junco,2/5/2015
484,Blackfeet,Tricolored Blackbird,7/5/2008
485,Acoma Pueblo,Pine Siskin,7/25/2010
486,Bad River,Pygmy Nuthatch,2/17/2018
487,Bad River,Inca Dove,4/23/2014
488,Caroni,Golden-crowned Sparrow,4/22/2018
489,Nankipooh,Bell's Vireo,2/6/2024
490,Tacarigua,Cave Swallow,11/25/2013
491,Bad River,Canyon Towhee,2/14/2010
492,Ochillie,Bank Swallow,2/3/2021
493,Kalispell,Yellow-eyed Junco,3/23/2021
494,Dahlonega,Yellow-green Vireo,3/14/2015
495,Oropouche ,Song Sparrow,7/11/2013
496,Tunapuna,Eastern Towhee,2/18/2023
497,Guaico,Rock Ptarmigan,12/14/2016
498,Caroni,Varied Thrush,10/6/2017
499,Kaw,Varied Bunting,5/31/2010
500,Toccoa,LeConte's Sparrow,5/11/2008
501,Burns Paiute,Dickcissel,1/12/2014
502,Upatoi,Orchard Oriole,7/31/2018
503,Couva,Purple Finch,3/1/2022
504,Bad River,Lapland Longspur,6/24/2020
505,Guaico,Red-naped Sapsucker,4/15/2010
506,Mucurapo,Worm-eating Warbler,5/18/2023
507,Guayaguayare,Willow Ptarmigan,2/26/2019
508,Guaico,Pine Siskin,11/8/2011
509,Mucurapo,Chestnut-collared Longspur,10/14/2018
510,Ochillie,Boat-tailed Grackle,5/25/2013
511,Caura,Hoary Redpoll,7/7/2018
512,Schatulga,Bell's Vireo,10/26/2019
513,Tamana,Yellow-eyed Junco,9/21/2009
514,Toccoa,Tricolored Blackbird,1/5/2019
515,Anvik Village,Ruby-crowned Kinglet,12/19/2009
516,Kaw,Red-breasted Sapsucker,2/26/2020
517,Dahlonega,Lawrence's Goldfinch,1/21/2018
518,Karuk,Rusty Blackbird,11/5/2012
519,Brotherton,Pine Siskin,12/20/2018
520,Arouca,Black-capped Chickadee,8/12/2019
521,Tacarigua,Black-chinned Sparrow,1/26/2022
522,Kaw,Yellow-throated Vireo,1/12/2020
523,Arouca,California Gnatcatcher,12/29/2013
524,Guaico,Mountain Chickadee,5/20/2020
525,Toccoa,Bell's Sparrow,5/3/2012
526,Mayaro,Virginia's Warbler,6/7/2015
527,Mayaro,Varied Thrush,3/1/2020
528,Caura,Arctic Warbler,11/7/2010
529,Birch Creek,Golden-crowned Sparrow,1/5/2024
530,Caura,Tricolored Blackbird,7/9/2010
531,Burns Paiute,California Gnatcatcher,11/19/2016
532,Caura,Willow Flycatcher,3/22/2018
533,Acoma Pueblo,Bicknell's Thrush,11/2/2010
534,Bishop Paiute,Mountain Chickadee,9/16/2012
535,Aripo ,California Gnatcatcher,1/2/2022
536,Dahlonega,Ruby-crowned Kinglet,3/11/2014
537,Tacarigua,Red-bellied Woodpecker,2/22/2020
538,Carapichaima,Orange-crowned Warbler,7/7/2021
539,Tamana,Chestnut-collared Longspur,8/17/2018
540,Nankipooh,California Gnatcatcher,11/24/2022
541,Paria,Willow Flycatcher,8/17/2018
542,Arima,Lincoln's Sparrow,7/17/2017
543,Anvik Village,California Gnatcatcher,3/12/2020
