Sort,Common Name,Scientific Name,Group,order,family,taxonomic notes,Canada,USA,Mexico,C America,Mig Status,Introduced,Nonbreeding only,PS-g,PS-g_s,PS-g_com,Global Pop Size, Global Pop Size# , Pop Size_US-Ca , Pop Size_US-Ca# ,PopYr,Pop Size_US-Ca_s,Pop Size_US-Ca_com,BD-g, BD area ,BD-g_s,BD-g_com,ND-g, ND area ,ND-g_s,ND-g_com,TB-c,TB-c_s,TB-c_com,CV-b,CV-b certainty,TN-c,TN-c_s,TN-c_com,CV-w,CV-w certainty,PT-c,PT-c_s,PT-c_com,LT % change,LT trend (%/yr),LT trend 90% lcl,LT trend 90% ucl,LT sig,ST % change,ST trend (%/yr),ST trend 90% lcl,ST trend 90% ucl,ST sig,ST yrs,core/extended BBS,LT CI width,N,RA,NxRA,Half-Life,CCS-b,CCS-n,CCS-max,Continental Importance,IUCN Red List 2023,Urban,Agriculture,Breeding Biome,Nonbreeding Biome,Primary Breeding Habitat,Secondary Breeding Habitat,Primary Nonbreeding Habitat,Secondary Nonbreeding Habitat
13,Ross's Goose,Anser rossii,waterfowl,Anseriformes,Anatidae,Formerly placed in the genus Chen.,1,1,1,0,M,,,3,CAFF18,,"2,100,000","2,100,000","1,600,000","1,600,000",2014,CAFF18,Shaw 2020: applied 2/3 rule to convert non-breeding season survey estimate to breeding adults,4,"214,858",Natureserve,,3,"694,586",Natureserve,,4,TrUST 2016; PIFSC-CVS 2022,,5,H,2,TrUST 2016; PIFSC-CVS 2022,Same threats as SNGO in Central Valley; no reason to score differently than SNGO (TrUST 2016).,2,H,1,"CAFF8916, CBC7019-JS",,5487.48,11.09,7.2,14.9,1,433.96,9.22,3.6,19.89,1,19,,7.7,,,,,12,9,12,,,,w,Arctic,Nearctic,Wetlands:  Tundra,Tundra:  Arctic,Wetlands:  Generalist,
15,Greater White-fronted Goose,Anser albifrons,waterfowl,Anseriformes,Anatidae,,1,1,1,0,M,,,2,CAFF18,,"5,500,000","5,500,000","4,300,000","4,300,000",2014,CAFF18,Shaw 2020: applied 2/3 rule to convert non-breeding season surveys' estimates to breeding adults; assuming breeding season survey estimate represented adults,1,"5,857,945","Natureserve, with Old World extrapolation",,2,"2,653,193","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,TrUST 2016; PIFSC-CVS 2022,,3,M-H,2,TrUST 2016; PIFSC-CVS 2022,"In general, tolerant of human alterations of the landscape and adaptable to different crop decisions. Population on substantially increasing trajectory, although at least in Central Valley, species is dependent on rice; so decreases in water leading to less rice production may impact GWFG negatively, but hard to predict (TrUST 2016).",2,M-H,3,"unreliable trend (CBC7019-TM,JS)",,430.9,3.47,-4.1,8.2,,263.91,5.3,-5.7,15.67,,25,,12.3,,,,,9,9,9,,,,w,Arctic,Nearctic,Wetlands:  Tundra,,Wetlands:  Generalist,
20,Brant,Branta bernicla,waterfowl,Anseriformes,Anatidae,,1,1,1,0,M,,,4,CAFF18,,"490,000","490,000","340,000","340,000",2014,CAFF18,Shaw 2020: applied 2/3 rule to convert non-breeding season surveys' estimates to breeding adults; assuming breeding season survey estimate represented adults,2,"1,448,120","Natureserve, with Old World extrapolation",,4,"131,077","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,TrUST 2016; PIFSC-CVS 2022,,4,M-H,3,TrUST 2016; PIFSC-CVS 2022,,2,M-H,2,CBC7019-JS,,6.65,0.13,-1.05,1.48,,23.92,1.8,-1.5,4.82,,12,,2.53,,,,,12,13,13,,,,,Arctic,Nearctic,Coasts:  Saltmarsh,Coasts:  Tundra,Coasts:  Marine Waters,Coasts:  Rocky Intertidal
22,Cackling Goose,Branta hutchinsii,waterfowl,Anseriformes,Anatidae,,1,1,1,0,M,,,3,CAFF18,,"4,500,000","4,500,000","4,100,000","4,100,000",2014,CAFF18,,2,"1,226,202",Natureserve,,1,"4,215,547",Natureserve,,2,TrUST 2016; PIFSC-CVS 2022,No new input when split from Canada Goose; Lower score from 3 to 2 for breeding and nonbreeding (TrUST 2016).,2,M-H,2,TrUST 2016; PIFSC-CVS 2022,No new input when split from Canada Goose; Lower score from 3 to 2 for breeding and nonbreeding (TrUST 2016).,2,H,3,unreliable trend (CAFF7516),,76.83,1.4,-3.8,6.9,,-44.11,-2.3,-7.2,2.9,,25,,10.7,,,,,10,9,10,,,,w,Arctic,Nearctic,Wetlands:  Tundra,Coasts:  Tundra,Wetlands:  Generalist,
23,Canada Goose,Branta canadensis,waterfowl,Anseriformes,Anatidae,,1,1,1,1,M,,,2,"CAFF18, Fink et al. 2021",extrapolated from CAFF US/Canada estimate using standard eBird Status & Trends 2021 model %pop values,"7,600,000","7,600,000","7,500,000","7,500,000",2015,CAFF18,Shaw 2020: applied 2/3 rule to convert non-breeding season survey estimates to breeding adults; assuming breeding season surveys' estimates represented adults,1,"13,237,382","Natureserve, with Old World extrapolation",,1,"7,522,561","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,2,TrUST 2016; PIFSC-CVS 2022,,3,H,2,TrUST 2016; PIFSC-CVS 2022,,2,H,1,"BBS7021-AS,JS",,8279.44,9.07,7.58,11.1,1,275.02,4.84,2.15,6.33,1,28,core,3.52,3328.5,11.46,38146.21,,6,6,6,,,yes,w,Nearctic,Nearctic,Wetlands:  Generalist,,Wetlands:  Generalist,Coasts:  Saltmarsh
25,Mute Swan,Cygnus olor,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,0,M,1,,4,"WPE5, IUCN",,"400,000","400,000","31,000","31,000",,BNA Ciaranca et al. 1997,,1,,AOU; NatGeo; Natureserve,,1,,AOU.NatGeo; Natureserve,,2,TrUST 2016; PIFSC-CVS 2022,,2,M-H,2,TrUST 2016; PIFSC-CVS 2022,,2,H,1,"BBS7021-AS,JS",,147.99,1.79,-0.66,4.63,,19.63,0.62,-2.7,3.92,,29,core,5.29,92.5,0.25,23.58,,8,8,8,,,yes,,Introduced,Introduced,Wetlands:  Generalist,,Wetlands:  Generalist,
26,Trumpeter Swan,Cygnus buccinator,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,0,M,,,4,NATSS15,,"63,000","63,000","63,000","63,000",2015,NATSS15,,2,"1,369,061",Natureserve,,3,"356,836",Natureserve,,4,TrUST 2016; PIFSC-CVS 2022,"All populations are increasing, so not clear what would be threatening TRUS in future. But is the species ""management-dependent?"" Recommend 3 for breeding. Not a tremendous amount of migratory movement, so also recommend dropping TN score to 3 (TrUST 2016).",5,M-H,3,TrUST 2016; PIFSC-CVS 2022,"All populations are increasing, so not clear what would be threatening TRUS in future. But is the species ""management-dependent?"" Recommend 3 for breeding. Not a tremendous amount of migratory movement, so also recommend dropping TN score to 3 (TrUST 2016).",2,H,1,"BBS7021-AS, BBS9321-JS",Shaw-23: switched to BBS since NATS6815 getting out of date and no 3 gen trends for new rule set,574.63,5.39,1.39,8.84,1,516.9,6.72,4.09,8.91,1,28,extended,7.45,174,0.22,38.8,,11,11,11,,,,w,Northern Forest,Nearctic,Wetlands:  Lakes and Rivers,Wetlands:  Freshwater Marsh,Wetlands:  Generalist,
27,Tundra Swan,Cygnus columbianus,waterfowl,Anseriformes,Anatidae,,1,1,1,0,M,,,4,WPE5; NAWMP 2018,2/3 adjustment applied to mid-point of global estimate,"280,000","280,000","190,000","190,000",,NAWMP 2018,Combines eastern (winter pop est) and western (breeding pop est) poplations; 2/3 adjustment applied only to eastern pop,2,"2,860,842","Natureserve, with Old World extrapolation",,2,"1,345,406",Natureserve,"Natureserve, with ocular estimate of range in W Hemishpere based on PIFTC",3,TrUST 2016; PIFSC-CVS 2022,Similar breeding ecology as Arctic-nesting geese; susceptibility to climate change unknown. So score 2 for TB (TrUST 2016),4,M-H,2,TrUST 2016; PIFSC-CVS 2022,"Populations wintering in Pacific seem to be increasing, so change TN from 3 to 2. Perhaps a bit less adaptable to changes in rice production than geese in Central Valley, but TUSW did survive CA's worse drought (TrUST 2016).",2,H,2,"CBC7019-TM,JS",,27.33,0.49,-0.4,1.56,,53.17,1.72,-0.82,5.37,,25,,1.96,,,,,11,10,11,,,,w,Arctic,Nearctic,Wetlands:  Tundra,,Wetlands:  Generalist,
34,Muscovy Duck,Cairina moschata,waterfowl,Anseriformes,Anatidae,Monotypic.,0,1,1,1,R,,,3,WPE5,"no adjustment applied, as likely not a non-breeding pop estimate.  Note that estimate does not include feral populations since may include hybrids and not of conservation interest.","550,000","550,000", <10 ,10,,Gustafson-19,"Jack Einear-19: I think most of the [native] population moves in and out of Mexico. I'd be surprised if we had more than a handful that actually breed in Texas.  Gustafson-19: They likely nest on the [Rio Grande] river or adjacent on inaccessible areas to birders most years. Numbers fluctuate with rainfall / flooding.  Shaw-20: comments and estimate reflect only the native pop.  In contrast feral pop in FL in ""tens of thousands"" (Ballou 2015).",1,"13,945,445",Natureserve,,1,"13,945,445",Natureserve,,4,TrUST 2016; PIFSC-CVS 2022,,2,M-H,4,TrUST 2016; PIFSC-CVS 2022,"Mexico scored 4/4, extirpated from some areas. Sought after for food, which will not change. So back to 4/4 (TrUST 2016).",2,M-H,5,NAWMP 2004,"wild populations have declined significantly, and it has been extirpated from some places (MX-NSAC)",,,,,,,,,,,,,,,,,,13,13,13,Yellow Watch List; Tipping Point,,,,Neotropical,Neotropical,Wetlands:  Generalist,,Wetlands:  Generalist,
35,Wood Duck,Aix sponsa,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,0,M,,,3,NAWMP 2012,breeding pop estimates (2002-2011 mean),"4,600,000","4,600,000","4,600,000","4,600,000",,NAWMP 2012,breeding pop estimates (2002-2011 mean),1,"6,185,338",Natureserve,,1,"6,699,816",Natureserve,,2,TrUST 2016; PIFSC-CVS 2022,"Reduce breeding score to 2 due to maturation (increase) of hardwood nesting trees (Greg Soulliere and others); also, nest boxes buffer loss of cavities (TrUST 2016).",2,H,2,TrUST 2016; PIFSC-CVS 2022,"Wintering in South tied to acorn mast, hydrology shifts; seems score should be the same as breeding, so reduce TN to 2 (TrUST 2016)",2,H,1,"BBS7021-AS,JS",,112.82,1.49,0.95,2.21,1,9.8,0.78,-0.27,1.83,,12,core,1.26,2393.5,0.32,771.81,,7,7,7,,,,,Eastern Temperate,Eastern Temperate,Wetlands:  Forested,Forests:  Temperate Eastern,Wetlands:  Forested,Wetlands:  Lakes and Rivers
38,Blue-winged Teal,Spatula discors,waterfowl,Anseriformes,Anatidae,"Monotypic. Spatula discors orphna recognized by AOU 1957, but validity doubtful. Formerly placed in the genus Anas.",1,1,1,1,M,,,2,NAWMP 2018,,"7,800,000","7,800,000","7,800,000","7,800,000",,NAWMP 2018,,1,"8,484,797",Natureserve,,1,"5,453,778",Natureserve,,3,TrUST 2016; PIFSC-CVS 2022,"Keep as 3 for breeding, as with other grassland-nesting species (TrUST 2016).",2,H,2,TrUST 2016; PIFSC-CVS 2022,"Uncertainty re. conditions on extensive Central American non-breeding range (including harvest) might justify a 3, but leave as 2 for now (TrUST 2016).",2,H,2,"BBS7021-AS,JS",,5.41,0.1,-0.95,0.99,,-21.86,-2.04,-4.63,0.84,,12,core,1.95,1325.5,1.61,2133.81,,8,7,8,,,,,Nearctic,Widespread,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh,Coasts:  Saltmarsh,Wetlands:  Freshwater Marsh
39,Cinnamon Teal,Spatula cyanoptera,waterfowl,Anseriformes,Anatidae,Formerly placed in the genus Anas.,1,1,1,1,M,,,4,"WPE5, NAWMP 2012",very low estimates for S. America pops in WPE,"380,000","380,000","300,000","300,000",,NAWMP 2012,,1,"6,904,749",Natureserve,,1,"6,265,279",Natureserve,,3,TrUST 2016; PIFSC-CVS 2022,,3,M-H,3,TrUST 2016; PIFSC-CVS 2022,"With this species (vs. BWTE), all of the uncertainty lies outside the US, and we haven't seen an increasing population size, so score 3/3 (TrUST 2016).",2,H,4,"BBS7021-AS,JS",,-51.07,-1.39,-2.12,-0.23,1,4.18,0.41,-2.82,3.22,,10,core,1.89,510.5,0.54,277.03,,12,12,12,Common Bird in Steep Decline; previously Watch List,,,,Western Temperate,Western Temperate,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,Wetlands:  Lakes and Rivers
40,Northern Shoveler,Spatula clypeata,waterfowl,Anseriformes,Anatidae,Monotypic. Formerly placed in the genus Anas.,1,1,1,1,M,,,2,WPE5; NAWMP 2018,"non-breeding surveys in WPE, 2/3 adjustment applied to all estimates except NAWMP 2018","5,900,000","5,900,000","4,400,000","4,400,000",,NAWMP 2018,,1,"26,371,937","Natureserve, with Old World extrapolation",,1,"17,197,873","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,TrUST 2016; PIFSC-CVS 2022,keep as is (TrUST 2016),2,M-H,2,TrUST 2016; PIFSC-CVS 2022,keep as is (TrUST 2016),2,H,1,"BBS7021-AS,JS",,94.31,1.31,-0.02,2.38,,-23.58,-2.22,-5.33,1.2,,12,core,2.4,780.5,0.92,721.8,,7,6,7,,,,,Nearctic,Nearctic,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh,Wetlands:  Generalist,
41,Gadwall,Mareca strepera,waterfowl,Anseriformes,Anatidae,"No extant subspecies. Peters (1979), Clements (2000), and Howard and Moore (2003) recognize Mareca strepera couesi, now extinct. Formerly placed in the genus Anas.",1,1,1,1,M,,,3,WPE5; NAWMP 2018,"estimates in WPE based on non-breeding surveys, 2/3 adjustment applied","4,400,000","4,400,000","3,400,000","3,400,000",,NAWMP 2018,,1,"11,085,530","Natureserve, with Old World extrapolation",,1,"16,091,055","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,TrUST 2016; PIFSC-CVS 2022,"Projections for land use in PPR suggest loss of grass and conversion to cropland (may reverse in Canada?) doesn't really fit ""2"" scenario, therefore 3 seems appropriate for all grassland-nesting prairie ducks (TrUST 2016).",2,M-H,3,TrUST 2016; PIFSC-CVS 2022,"Non-breeding score also 3 due to its heavy reliance on vulnerable coastal marshes (Gulf coastal in particular, more like a 2 in CA because there less dependent on coastal marshes). So continentally, TN = 3. A bit different from the other dabblers in its reliance on wetlands vegetation (TrUST 2016).",2,H,1,"BBS7021-AS,JS",,171.43,1.98,1,2.81,1,-13.12,-1.27,-3.07,0.77,,11,core,1.82,810,2.1,1702.5,,8,8,8,,,,,Nearctic,Nearctic,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh,Wetlands:  Generalist,
43,Eurasian Wigeon,Mareca penelope,waterfowl,Anseriformes,Anatidae,Monotypic. Formerly placed in the genus Anas.,1,1,1,0,M,,1,3,"WPE5, IUCN",Assumed 2/3 of individual estimate are breeding adults.,"2,000,000","2,000,000",,,,,,1,,AOU; Natureserve,,1,,AOU; Natureserve,,2,PIFTC-02,,,,2,PIFTC-02; PIFSC-CVS 2022,,2,H,3,PIFTC,,,,,,,,,,,,,,,,,,,9,9,9,,,,,Palearctic,Palearctic,Wetlands:  Freshwater Marsh,,Wetlands:  Generalist,
44,American Wigeon,Mareca americana,waterfowl,Anseriformes,Anatidae,Monotypic. Formerly placed in the genus Anas.,1,1,1,1,M,,,3,NAWMP 2018,,"2,700,000","2,700,000","2,700,000","2,700,000",,NAWMP 2018,,1,"7,551,407",Natureserve,,1,"7,125,330",Natureserve,,3,TrUST 2016; PIFSC-CVS 2022,"Breeding score should remain at 3 with half of the population in the boreal, other half in grass, mostly in the West (TrUST 2016).",3,M-H,2,TrUST 2016; PIFSC-CVS 2022,"Herbivorous in non-breeding season, uses many different habitats in winter, similar to other dabblers (TrUST 2016).",2,H,3,"BBS7021-AS,JS",,-45.24,-1.17,-1.94,-0.1,1,9.66,0.77,-1.01,2.82,,12,core,1.83,731,0.96,703.89,,10,9,10,,,,w,Nearctic,Nearctic,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh,Wetlands:  Generalist,
48,Mallard,Anas platyrhynchos,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,0,M,,,2,Birdlife International 2019,"mid-point of european estimate is 7.46M mature individuals, so global estimate is easily more than 19M breeding-aged birds.  Shaw-22: Mexican Duck split immaterial due to small pop size.",">19,000,000","19,000,000","11,000,000","11,000,000",,NAWMP 2018,Shaw-22: no change due to Mexican Duck split since Mexican Duck pop size immaterial with rounding,1,"42,009,504",BirdLife 2021,Shaw-22: includes introduced resident range throughout Oceania,1,"22,270,745",BirdLife 2021,Shaw-22: includes introduced resident range throughout Oceania,2,TrUST 2016; PIFSC-CVS 2022,,2,H,2,TrUST 2016; PIFSC-CVS 2022,,2,H,2,"BBS7021-AS,JS",,9.52,0.18,-0.57,0.59,,-9.92,-0.74,-1.58,0.33,,14,core,1.16,3693.5,5.89,21786.48,,7,7,7,,,yes,w,Widespread,Widespread,Wetlands:  Generalist,,Wetlands:  Generalist,Coasts:  Saltmarsh
49,Mexican Duck,Anas diazi,waterfowl,Anseriformes,Anatidae,Formerly considered conspecific with Anas platyrhynchos.,0,0,1,1,R,,,5,NAWMP 2018,,"56,000","56,000",400,400,,NAWMP 2018; STEM-21,"Shaw-22: multiplied global estimate by STEM-21 % in US (6.5%), rounded to 1 significant figure to avoid implying precision",2,,BOTW Drilling et al. 2020; Shaw-22,"Shaw-22: roughly sketched BOTW range map in ArcGIS since the only available range shapefile, from eBird Science & Trends, was too patchy",2,,BOTW Drilling et al. 2020; Shaw-22,"Shaw-22: roughly sketched BOTW range map in ArcGIS since the only available range shapefile, from eBird Science & Trends, was too patchy",2,"SJV-SWG 2017, TrUST 2016, Mexican Regional Assessment 2005, Shaw-22","Shaw-22: weighted pre-split Mallard TB-r scores for BCR's 34, 35, and CEMH which make of vast majority of population by the %pop for each region and calculated weighted average score",,,2,"SJV-SWG 2017, TrUST 2016, Mexican Regional Assessment 2005, Shaw-22","Shaw-22: because no TN-r scores available and resident in most of range, weighted pre-split Mallard TB-r scores for BCR's 34, 35, and CEMH which make of vast majority of population by the %pop for each region and calculated weighted average score",,,2,"BBS7015, Mexican Regional Assessment 2005, Shaw-22","Shaw-22: weighted pre-split Mallard PT-r scores for BCR's 34, 35, and CEMH which make of vast majority of population by the %pop for each region and calculated weighted average score",,,,,,,,,,,,,,,,,,11,11,11,,,,"b,w",North American Southwest,North American Southwest,Wetlands:  Freshwater Marsh,Wetlands:  Lakes and Rivers,Wetlands:  Freshwater Marsh,Wetlands:  Lakes and Rivers
50,American Black Duck,Anas rubripes,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,0,0,M,,,3,NAWMP 2018,,"700,000","700,000","700,000","700,000",,NAWMP 2018,,1,"4,076,423",Natureserve,,2,"3,204,975",Natureserve,,3,CWS reviewers 2018; PIFSC-CVS 2022,Reduced score during calibration with TB-r.  Josh Vest and Greg Soulliere agreed.,3,M-H,3,TrUST 2016; PIFSC-CVS 2022,,3,M-H,4,"BBS7021-AS,JS",,-53.93,-1.51,-4.32,0.12,,-20.33,-1.61,-5.76,1.82,,14,core,4.44,592.5,0.28,164.74,,11,12,12,Common Bird in Steep Decline,,,,Northern Forest,Eastern Temperate,Wetlands:  Boreal,Coasts:  Saltmarsh,Wetlands:  Lakes and Rivers,Coasts:  Saltmarsh
