SpeciesCommonName,ScientificName,Type,RiskName,RiskIndex,,,,
Black Rail,Laterallus jamaicensis,waterbird,Snakes,0.37,,,,
Sungrebe,Heliornis fulica,waterbird,Snakes,0.23,,,,
Limpkin,Aramus guarauna,waterbird,Coyotes,0.24,,,,
Sandhill Crane,Antigone canadensis,waterbird,Snakes,0.76,,,,
Whooping Crane,Grus americana,waterbird,Foxes,0.56,,,,
Double-striped Thick-knee,Burhinus bistriatus,shorebird,Rats,0.49,,,,
Black-necked Stilt,Himantopus mexicanus,shorebird,Cat,0.03,,,,
Ruddy Turnstone,Arenaria interpres,shorebird,Mongoose,0.45,,,,
Black Turnstone,Arenaria melanocephala,shorebird,Rats,0.29,,,,
Red Knot,Calidris canutus,shorebird,Cat,0.23,,,,
Surfbird,Calidris virgata,shorebird,Mongoose,0.66,,,,
Sharp-tailed Sandpiper,Calidris acuminata,shorebird,Mongoose,0.75,,,,
Purple Sandpiper,Calidris maritima,shorebird,Rats,0.76,,,,
Baird's Sandpiper,Calidris bairdii,shorebird,Cat,0.77,,,,
Least Sandpiper,Calidris minutilla,shorebird,Rats,0.49,,,,
White-rumped Sandpiper,Calidris fuscicollis,shorebird,Rats,0.74,,,,
Dovekie,Alle alle,waterbird,Opossums,0.56,,,,
Common Murre,Uria aalge,waterbird,Snakes,0.24,,,,
Thick-billed Murre,Uria lomvia,waterbird,Opossums,0.04,,,,
Razorbill,Alca torda,waterbird,Foxes,0.19,,,,
Black Guillemot,Cepphus grylle,waterbird,Coyotes,0.73,,,,
Pigeon Guillemot,Cepphus columba,waterbird,Coyotes,0.42,,,,
Marbled Murrelet,Brachyramphus marmoratus,waterbird,Snakes,0.72,,,,
Kittlitz's Murrelet,Brachyramphus brevirostris,waterbird,Coyotes,0.65,,,,
Scripps's Murrelet,Synthliboramphus scrippsi,waterbird,Foxes,0.61,,,,
Guadalupe Murrelet,Synthliboramphus hypoleucus,waterbird,Snakes,0.19,,,,
Craveri's Murrelet,Synthliboramphus craveri,waterbird,Foxes,0.87,,,,
Ancient Murrelet,Synthliboramphus antiquus,waterbird,Coyotes,0.37,,,,
Cassin's Auklet,Ptychoramphus aleuticus,waterbird,Foxes,0.16,,,,
Parakeet Auklet,Aethia psittacula,waterbird,Opossums,0.22,,,,
Least Auklet,Aethia pusilla,waterbird,Opossums,0.36,,,,
Whiskered Auklet,Aethia pygmaea,waterbird,Snakes,0.63,,,,
Crested Auklet,Aethia cristatella,waterbird,Opossums,0.72,,,,
Rhinoceros Auklet,Cerorhinca monocerata,waterbird,Opossums,0.31,,,,
Atlantic Puffin,Fratercula arctica,waterbird,Snakes,0.87,,,,
Horned Puffin,Fratercula corniculata,waterbird,Opossums,0.81,,,,
Sabine's Gull,Xema sabini,waterbird,Foxes,0.7,,,,
Bonaparte's Gull,Chroicocephalus philadelphia,waterbird,Coyotes,0.54,,,,
Black-headed Gull,Chroicocephalus ridibundus,waterbird,Foxes,0.52,,,,
Little Gull,Hydrocoloeus minutus,waterbird,Snakes,0.85,,,,
Ross's Gull,Rhodostethia rosea,waterbird,Coyotes,0.36,,,,
Laughing Gull,Leucophaeus atricilla,waterbird,Foxes,0.33,,,,
Franklin's Gull,Leucophaeus pipixcan,waterbird,Opossums,0.01,,,,
Heermann's Gull,Larus heermanni,waterbird,Foxes,0.59,,,,
Short-billed Gull,Larus brachyrhynchus,waterbird,Foxes,0.1,,,,
Ring-billed Gull,Larus delawarensis,waterbird,Foxes,0.95,,,,
Western Gull,Larus occidentalis,waterbird,Coyotes,0.78,,,,
Yellow-footed Gull,Larus livens,waterbird,Foxes,0.35,,,,
California Gull,Larus californicus,waterbird,Opossums,0.4,,,,
Herring Gull,Larus argentatus,waterbird,Snakes,1,,,,
Iceland Gull,Larus glaucoides,waterbird,Snakes,0.48,,,,
Lesser Black-backed Gull,Larus fuscus,waterbird,Snakes,0.62,,,,
Slaty-backed Gull,Larus schistisagus,waterbird,Opossums,0.04,,,,
Glaucous-winged Gull,Larus glaucescens,waterbird,Foxes,0.55,,,,
Glaucous Gull,Larus hyperboreus,waterbird,Coyotes,0.69,,,,
Great Black-backed Gull,Larus marinus,waterbird,Foxes,0.11,,,,
Brown Noddy,Anous stolidus,waterbird,Coyotes,0.25,,,,
Black Noddy,Anous minutus,waterbird,Coyotes,0.12,,,,
Sooty Tern,Onychoprion fuscatus,waterbird,Snakes,0.01,,,,
Bridled Tern,Onychoprion anaethetus,waterbird,Opossums,0.05,,,,
Aleutian Tern,Onychoprion aleuticus,waterbird,Foxes,0.04,,,,
Least Tern,Sternula antillarum,waterbird,Coyotes,0.63,,,,
Gull-billed Tern,Gelochelidon nilotica,waterbird,Snakes,0.74,,,,
Caspian Tern,Hydroprogne caspia,waterbird,Opossums,0.34,,,,
Black Tern,Chlidonias niger,waterbird,Foxes,0.98,,,,
Roseate Tern,Sterna dougallii,waterbird,Opossums,0.57,,,,
Common Tern,Sterna hirundo,waterbird,Opossums,0.87,,,,
Arctic Tern,Sterna paradisaea,waterbird,Coyotes,0.18,,,,
Forster's Tern,Sterna forsteri,waterbird,Foxes,0.12,,,,
Royal Tern,Thalasseus maximus,waterbird,Opossums,0.68,,,,
Sandwich Tern,Thalasseus sandvicensis,waterbird,Opossums,0.92,,,,
Elegant Tern,Thalasseus elegans,waterbird,Foxes,0.92,,,,
Black Skimmer,Rynchops niger,waterbird,Foxes,0.61,,,,
Sunbittern,Eurypyga helias,waterbird,Foxes,0.89,,,,
White-tailed Tropicbird,Phaethon lepturus,waterbird,Opossums,0.79,,,,
Red-billed Tropicbird,Phaethon aethereus,waterbird,Coyotes,0.74,,,,
Red-tailed Tropicbird,Phaethon rubricauda,waterbird,Coyotes,0.18,,,,
Red-throated Loon,Gavia stellata,waterbird,Snakes,0.68,,,,
Arctic Loon,Gavia arctica,waterbird,Opossums,0.92,,,,
Black-footed Albatross,Phoebastria nigripes,waterbird,Snakes,0.58,,,,
Short-tailed Albatross,Phoebastria albatrus,waterbird,Coyotes,0.22,,,,
Wilson's Storm-Petrel,Oceanites oceanicus,waterbird,Coyotes,0.92,,,,
White-faced Storm-Petrel,Pelagodroma marina,waterbird,Snakes,0.69,,,,
Fork-tailed Storm-Petrel,Hydrobates furcatus,waterbird,Snakes,0.08,,,,
Leach's Storm-Petrel,Hydrobates leucorhous,waterbird,Opossums,0.04,,,,
Townsend's Storm-Petrel,Hydrobates socorroensis,waterbird,Snakes,0.69,,,,
Ainley's Storm-Petrel,Hydrobates cheimomnestes,waterbird,Foxes,0.59,,,,
Ashy Storm-Petrel,Hydrobates homochroa,waterbird,Foxes,0.69,,,,
Band-rumped Storm-Petrel,Hydrobates castro,waterbird,Snakes,0.75,,,,
Wedge-rumped Storm-Petrel,Hydrobates tethys,waterbird,Coyotes,0.41,,,,
Black Storm-Petrel,Hydrobates melania,waterbird,Opossums,0.11,,,,
Least Storm-Petrel,Hydrobates microsoma,waterbird,Coyotes,0.64,,,,
Northern Fulmar,Fulmarus glacialis,waterbird,Snakes,0.82,,,,
Trindade Petrel,Pterodroma arminjoniana,waterbird,Opossums,0.64,,,,
Murphy's Petrel,Pterodroma ultima,waterbird,Opossums,0.51,,,,
Mottled Petrel,Pterodroma inexpectata,waterbird,Foxes,0.6,,,,
Bermuda Petrel,Pterodroma cahow,waterbird,Foxes,0.63,,,,
Black-capped Petrel,Pterodroma hasitata,waterbird,Coyotes,0.89,,,,
Juan Fernandez Petrel,Pterodroma externa,waterbird,Snakes,0.13,,,,
Hawaiian Petrel,Pterodroma sandwichensis,waterbird,Snakes,0.19,,,,
Fea's Petrel,Pterodroma feae,waterbird,Opossums,0.38,,,,
Cook's Petrel,Pterodroma cookii,waterbird,Snakes,0.11,,,,
Tahiti Petrel,Pseudobulweria rostrata,waterbird,Coyotes,0.07,,,,
Bulwer's Petrel,Bulweria bulwerii,waterbird,Snakes,0.4,,,,
Parkinson's Petrel,Procellaria parkinsoni,waterbird,Snakes,0.83,,,,
Cory's Shearwater,Calonectris diomedea,waterbird,Coyotes,0.9,,,,
Wedge-tailed Shearwater,Ardenna pacifica,waterbird,Foxes,0.17,,,,
Buller's Shearwater,Ardenna bulleri,waterbird,Coyotes,0.24,,,,
Galapagos Shearwater,Puffinus subalaris,waterbird,Opossums,0.43,,,,
Manx Shearwater,Puffinus puffinus,waterbird,Snakes,0.38,,,,
Townsend's Shearwater,Puffinus auricularis,waterbird,Snakes,0.64,,,,
Black-vented Shearwater,Puffinus opisthomelas,waterbird,Opossums,0.91,,,,
Audubon's Shearwater,Puffinus lherminieri,waterbird,Foxes,0.11,,,,
Jabiru,Jabiru mycteria,waterbird,Foxes,0.5,,,,
Wood Stork,Mycteria americana,waterbird,Snakes,0.88,,,,
Magnificent Frigatebird,Fregata magnificens,waterbird,Coyotes,0.38,,,,
Great Frigatebird,Fregata minor,waterbird,Opossums,0.73,,,,
Masked Booby,Sula dactylatra,waterbird,Foxes,0.33,,,,
Great Cormorant,Phalacrocorax carbo,waterbird,Opossums,0.76,,,,
Double-crested Cormorant,Nannopterum auritum,waterbird,Foxes,0.69,,,,
Neotropic Cormorant,Nannopterum brasilianum,waterbird,Opossums,0.69,,,,
American White Pelican,Pelecanus erythrorhynchos,waterbird,Coyotes,0.03,,,,
Brown Pelican,Pelecanus occidentalis,waterbird,Foxes,0.93,,,,
Pinnated Bittern,Botaurus pinnatus,waterbird,Coyotes,0.79,,,,
American Bittern,Botaurus lentiginosus,waterbird,Foxes,0.97,,,,
Least Bittern,Ixobrychus exilis,waterbird,Snakes,0.57,,,,
Rufescent Tiger-Heron,Tigrisoma lineatum,waterbird,Coyotes,0.46,,,,
Fasciated Tiger-Heron,Tigrisoma fasciatum,waterbird,Foxes,0.52,,,,
Bare-throated Tiger-Heron,Tigrisoma mexicanum,waterbird,Opossums,0.38,,,,
Great Blue Heron,Ardea herodias,waterbird,Foxes,0.33,,,,
Cocoi Heron,Ardea cocoi,waterbird,Opossums,0.77,,,,
Great Egret,Ardea alba,waterbird,Opossums,0.17,,,,
Cattle Egret,Bubulcus ibis,waterbird,Opossums,0.93,,,,
Green Heron,Butorides virescens,waterbird,Opossums,0.64,,,,
Striated Heron,Butorides striata,waterbird,Snakes,0.16,,,,
Agami Heron,Agamia agami,waterbird,Opossums,0.39,,,,
Capped Heron,Pilherodius pileatus,waterbird,Foxes,0.53,,,,
Black-crowned Night-Heron,Nycticorax nycticorax,waterbird,Coyotes,0.28,,,,
Yellow-crowned Night-Heron,Nyctanassa violacea,waterbird,Coyotes,0.97,,,,
Boat-billed Heron,Cochlearius cochlearius,waterbird,Foxes,0.68,,,,
White Ibis,Eudocimus albus,waterbird,Coyotes,0.08,,,,
Swallow-tailed Kite,Elanoides forficatus,landbird,Cats,0.31,,,,
Crested Eagle,Morphnus guianensis,landbird,Stoats,0.3,,,,
Harpy Eagle,Harpia harpyja,landbird,Eagles,0.99,,,,
Golden Eagle,Aquila chrysaetos,landbird,Stoats,0.97,,,,
Black Hawk-Eagle,Spizaetus tyrannus,landbird,Weasels,0.53,,,,
Mississippi Kite,Ictinia mississippiensis,landbird,Ferrets,0.47,,,,
Plumbeous Kite,Ictinia plumbea,landbird,Weasels,0.03,,,,
Black-collared Hawk,Busarellus nigricollis,landbird,Ferrets,0.35,,,,
Crane Hawk,Geranospiza caerulescens,landbird,Raccoons,0.23,,,,
Snail Kite,Rostrhamus sociabilis,landbird,Stoats,0.18,,,,
Slender-billed Kite,Helicolestes hamatus,landbird,Raccoons,0.24,,,,
Plumbeous Hawk,Cryptoleucopteryx plumbea,landbird,Mink,0.1,,,,
Common Black Hawk,Buteogallus anthracinus,landbird,Weasels,0.97,,,,
Savanna Hawk,Buteogallus meridionalis,landbird,Snakes,0.2,,,,
Great Black Hawk,Buteogallus urubitinga,landbird,Snakes,0.92,,,,
Solitary Eagle,Buteogallus solitarius,landbird,Ferrets,0.4,,,,
Barred Hawk,Morphnarchus princeps,landbird,Ferrets,0.28,,,,
Roadside Hawk,Rupornis magnirostris,landbird,Weasels,0.38,,,,
Harris's Hawk,Parabuteo unicinctus,landbird,Snakes,0.3,,,,
White-tailed Hawk,Geranoaetus albicaudatus,landbird,Stoats,0.1,,,,
Broad-winged Hawk,Buteo platypterus,landbird,Snakes,0.78,,,,
Short-tailed Hawk,Buteo brachyurus,landbird,Stoats,0.2,,,,
Swainson's Hawk,Buteo swainsoni,landbird,Snakes,0.22,,,,
Zone-tailed Hawk,Buteo albonotatus,landbird,Cats,0.09,,,,
Red-tailed Hawk,Buteo jamaicensis,landbird,Eagles,0.76,,,,
Rough-legged Hawk,Buteo lagopus,landbird,Weasels,0.41,,,,
Ferruginous Hawk,Buteo regalis,landbird,Cats,0.78,,,,
Barn Owl,Tyto alba,landbird,Cats,0.15,,,,
Flammulated Owl,Psiloscops flammeolus,landbird,Cats,0.66,,,,
Whiskered Screech-Owl,Megascops trichopsis,landbird,Snakes,0.29,,,,
Eastern Screech-Owl,Megascops asio,landbird,Raccoons,0.37,,,,
Balsas Screech-Owl,Megascops seductus,landbird,Stoats,0.13,,,,
Middle American Screech-Owl,Megascops guatemalae,landbird,Ferrets,0.85,,,,
Choco Screech-Owl,Megascops centralis,landbird,Snakes,0.03,,,,
